Card Number,Player Name,Set Name,Set Year,
1,Hank Aaron,Bazooka,1959,
2,Richie Ashburn,Bazooka,1959,
3,Ernie Banks,Bazooka,1959,
4,Ken Boyer,Bazooka,1959,
5,Orlando Cepeda,Bazooka,1959,
6,Bob Cerv,Bazooka,1959,
7,Rocky Colavito,Bazooka,1959,
8,Del Crandall,Bazooka,1959,
9,Jim Davenport,Bazooka,1959,
10,Don Drysdale,Bazooka,1959,
11,Nellie Fox,Bazooka,1959,
12,Jackie Jensen,Bazooka,1959,
13,Harvey Kuenn,Bazooka,1959,
14,Mickey Mantle,Bazooka,1959,
15,Willie Mays,Bazooka,1959,
16,Bill Mazeroski,Bazooka,1959,
17,Roy McMillan,Bazooka,1959,
18,Billy Pierce,Bazooka,1959,
19,Roy Sievers,Bazooka,1959,
20,Duke Snider,Bazooka,1959,
21,Gus Triandos,Bazooka,1959,
22,Bob Turley,Bazooka,1959,
23,Vic Wertz,Bazooka,1959,
1,Ernie Banks,Bazooka,1960,
2,Bud Daley,Bazooka,1960,
3,Wally Moon,Bazooka,1960,
4,Hank Aaron,Bazooka,1960,
5,Milt Pappas,Bazooka,1960,
6,Dick Stuart,Bazooka,1960,
7,Roberto Clemente,Bazooka,1960,
8,Yogi Berra,Bazooka,1960,
9,Ken Boyer,Bazooka,1960,
10,Orlando Cepeda,Bazooka,1960,
11,Gus Triandos,Bazooka,1960,
12,Frank Malzone,Bazooka,1960,
13,Willie Mays,Bazooka,1960,
14,Camilo Pascual,Bazooka,1960,
15,Bob Cerv,Bazooka,1960,
16,Vic Power,Bazooka,1960,
17,Larry Sherry,Bazooka,1960,
18,Al Kaline,Bazooka,1960,
19,Warren Spahn,Bazooka,1960,
20,Harmon Killebrew,Bazooka,1960,
21,Jackie Jensen,Bazooka,1960,
22,Luis Aparicio,Bazooka,1960,
23,Gil Hodges,Bazooka,1960,
24,Richie Ashburn,Bazooka,1960,
25,Nellie Fox,Bazooka,1960,
26,Robin Roberts,Bazooka,1960,
27,Joe Cunningham,Bazooka,1960,
28,Early Wynn,Bazooka,1960,
29,Frank Robinson,Bazooka,1960,
30,Rocky Colavito,Bazooka,1960,
31,Mickey Mantle,Bazooka,1960,
32,Glen Hobbie,Bazooka,1960,
33,Roy McMillan,Bazooka,1960,
34,Harvey Kuenn,Bazooka,1960,
35,Johnny Antonelli,Bazooka,1960,
36,Del Crandall,Bazooka,1960,
1,Art Mahaffey,Bazooka,1961,
2,Mickey Mantle,Bazooka,1961,
3,Ron Santo,Bazooka,1961,
4,Bud Daley,Bazooka,1961,
5,Roger Maris,Bazooka,1961,
6,Eddie Yost,Bazooka,1961,
7,Minnie Minoso,Bazooka,1961,
8,Dick Groat,Bazooka,1961,
9,Frank Malzone,Bazooka,1961,
10,Dick Donovan,Bazooka,1961,
11,Eddie Mathews,Bazooka,1961,
12,Jim Lemon,Bazooka,1961,
13,Chuck Estrada,Bazooka,1961,
14,Ken Boyer,Bazooka,1961,
15,Harvey Kuenn,Bazooka,1961,
16,Ernie Broglio,Bazooka,1961,
17,Rocky Colavito,Bazooka,1961,
18,Ted Kluszewski,Bazooka,1961,
19,Ernie Banks,Bazooka,1961,
20,Al Kaline,Bazooka,1961,
21,Ed Bailey,Bazooka,1961,
22,Jim Perry,Bazooka,1961,
23,Willie Mays,Bazooka,1961,
24,Bill Mazeroski,Bazooka,1961,
25,Gus Triandos,Bazooka,1961,
26,Don Drysdale,Bazooka,1961,
27,Pancho Herrera,Bazooka,1961,
28,Earl Battey,Bazooka,1961,
29,Warren Spahn,Bazooka,1961,
30,Gene Woodling,Bazooka,1961,
31,Frank Robinson,Bazooka,1961,
32,Pete Runnels,Bazooka,1961,
33,Woodie Held,Bazooka,1961,
34,Norm Larker,Bazooka,1961,
35,Luis Aparicio,Bazooka,1961,
36,Bill Tuttle,Bazooka,1961,
1,Bob Allison,Bazooka,1962,
2,Eddie Mathews,Bazooka,1962,
3,Vada Pinson,Bazooka,1962,
4,Earl Battey,Bazooka,1962,
5,Warren Spahn,Bazooka,1962,
6,Lee Thomas,Bazooka,1962,
7,Orlando Cepeda,Bazooka,1962,
8,Woodie Held,Bazooka,1962,
9,Bob Aspromonte,Bazooka,1962,
10,Dick Howser,Bazooka,1962,
11,Roberto Clemente,Bazooka,1962,
12,Al Kaline,Bazooka,1962,
13,Joey Jay,Bazooka,1962,
14,Roger Maris,Bazooka,1962,
15,Frank Howard,Bazooka,1962,
16,Sandy Koufax,Bazooka,1962,
17,Jim Gentile,Bazooka,1962,
18,Johnny Callison,Bazooka,1962,
19,Jim Landis,Bazooka,1962,
20,Ken Boyer,Bazooka,1962,
21,Chuck Schilling,Bazooka,1962,
22,Art Mahaffey,Bazooka,1962,
23,Mickey Mantle,Bazooka,1962,
24,Dick Stuart,Bazooka,1962,
25,Ken McBride,Bazooka,1962,
26,Frank Robinson,Bazooka,1962,
27,Gil Hodges,Bazooka,1962,
28,Milt Pappas,Bazooka,1962,
29,Hank Aaron,Bazooka,1962,
30,Luis Aparicio,Bazooka,1962,
31,Johnny Romano,Bazooka,1962,
32,Ernie Banks,Bazooka,1962,
33,Norm Siebern,Bazooka,1962,
34,Ron Santo,Bazooka,1962,
35,Norm Cash,Bazooka,1962,
36,Jimmy Piersall,Bazooka,1962,
37,Don Schwall,Bazooka,1962,
38,Willie Mays,Bazooka,1962,
39,Norm Larker,Bazooka,1962,
40,Bill White,Bazooka,1962,
41,Whitey Ford,Bazooka,1962,
42,Rocky Colavito,Bazooka,1962,
43,Don Zimmer,Bazooka,1962,
44,Harmon Killebrew,Bazooka,1962,
45,Gene Woodling,Bazooka,1962,
1,Mickey Mantle,Bazooka,1963,
2,Buck Rodgers,Bazooka,1963,
3,Ernie Banks,Bazooka,1963,
4,Norm Siebern,Bazooka,1963,
5,Warren Spahn,Bazooka,1963,
6,Bill Mazeroski,Bazooka,1963,
7,Harmon Killebrew,Bazooka,1963,
8,Doc Farrell,Bazooka,1963,
9,Hank Aaron,Bazooka,1963,
10,Dick Donovan,Bazooka,1963,
11,Jim Gentile,Bazooka,1963,
12,Willie Mays,Bazooka,1963,
13,Carlos Pascual,Bazooka,1963,
14,Roberto Clemente,Bazooka,1963,
15,Johnny Callison,Bazooka,1963,
16,Carl Yastrzemski,Bazooka,1963,
17,Don Drysdale,Bazooka,1963,
18,Johnny Romano,Bazooka,1963,
19,Al Jackson,Bazooka,1963,
20,Ralph Terry,Bazooka,1963,
21,Bill Monbouquette,Bazooka,1963,
22,Orlando Cepeda,Bazooka,1963,
23,Stan Musial,Bazooka,1963,
24,Floyd Robinson,Bazooka,1963,
25,Chuck Hinton,Bazooka,1963,
26,Bob Purkey,Bazooka,1963,
27,Ken Hubbs,Bazooka,1963,
28,Bill White,Bazooka,1963,
29,Ray Herbert,Bazooka,1963,
30,Brooks Robinson,Bazooka,1963,
31,Fred Robinson,Bazooka,1963,
32,Lefty Thomas,Bazooka,1963,
33,Rocky Colavito,Bazooka,1963,
34,Al Kaline,Bazooka,1963,
35,Art Mahaffey,Bazooka,1963,
36,Tod Davis,Bazooka,1963,
1,Mickey Mantle,Bazooka,1964,
2,Dick Groat,Bazooka,1964,
3,Steve Barber,Bazooka,1964,
4,Ken McBride,Bazooka,1964,
5,Warren Spahn,Bazooka,1964,
6,Bob Friend,Bazooka,1964,
7,Harmon Killebrew,Bazooka,1964,
8,Turk Farrell,Bazooka,1964,
9,Hank Aaron,Bazooka,1964,
10,Rich Rollins,Bazooka,1964,
11,Jim Gentile,Bazooka,1964,
12,Willie Mays,Bazooka,1964,
13,Carlos Pascual,Bazooka,1964,
14,Roberto Clemente,Bazooka,1964,
15,Johnny Callison,Bazooka,1964,
16,Carl Yastrzemski,Bazooka,1964,
17,Billy Williams,Bazooka,1964,
18,Johnny Romano,Bazooka,1964,
19,Jim Maloney,Bazooka,1964,
20,Norm Cash,Bazooka,1964,
21,Willie McCovey,Bazooka,1964,
22,Jim Fregosi,Bazooka,1964,
23,George Altman,Bazooka,1964,
24,Floyd Robinson,Bazooka,1964,
25,Chuck Hinton,Bazooka,1964,
26,Ron Hunt,Bazooka,1964,
27,Gary Peters,Bazooka,1964,
28,Dick Ellsworth,Bazooka,1964,
29,Elston Howard,Bazooka,1964,
30,Brooks Robinson,Bazooka,1964,
31,Fred Robinson,Bazooka,1964,
32,Sandy Koufax,Bazooka,1964,
33,Rocky Colavito,Bazooka,1964,
34,Al Kaline,Bazooka,1964,
35,Ken Boyer,Bazooka,1964,
36,Tod Davis,Bazooka,1964,
1,Mickey Mantle,Bazooka,1965,
2,Larry Jackson,Bazooka,1965,
3,Chuck Hinton,Bazooka,1965,
4,Tony Oliva,Bazooka,1965,
5,Dean Chance,Bazooka,1965,
6,Jim O'Toole,Bazooka,1965,
7,Harmon Killebrew,Bazooka,1965,
8,Pete Ward,Bazooka,1965,
9,Hank Aaron,Bazooka,1965,
10,Dick Radatz,Bazooka,1965,
11,Boog Powell,Bazooka,1965,
12,Willie Mays,Bazooka,1965,
13,Bob Veale,Bazooka,1965,
14,Roberto Clemente,Bazooka,1965,
15,Johnny Callison,Bazooka,1965,
16,Joe Torre,Bazooka,1965,
17,Billy Williams,Bazooka,1965,
18,Bob Chance,Bazooka,1965,
19,Bob Aspromonte,Bazooka,1965,
20,Joe Christopher,Bazooka,1965,
21,Jim Bunning,Bazooka,1965,
22,Jim Fregosi,Bazooka,1965,
23,Bob Gibson,Bazooka,1965,
24,Juan Marichal,Bazooka,1965,
25,Dave Wickersham,Bazooka,1965,
26,Ron Hunt,Bazooka,1965,
27,Gary Peters,Bazooka,1965,
28,Ron Santo,Bazooka,1965,
29,Elston Howard,Bazooka,1965,
30,Brooks Robinson,Bazooka,1965,
31,Fred Robinson,Bazooka,1965,
32,Sandy Koufax,Bazooka,1965,
33,Rocky Colavito,Bazooka,1965,
34,Al Kaline,Bazooka,1965,
35,Ken Boyer,Bazooka,1965,
36,Tod Davis,Bazooka,1965,
1,Sandy Koufax,Bazooka,1966,
2,Willie Horton,Bazooka,1966,
3,Frank Howard,Bazooka,1966,
4,Dick Allen,Bazooka,1966,
5,Mel Stottlemyre,Bazooka,1966,
6,Tony Conigliaro,Bazooka,1966,
7,Mickey Mantle,Bazooka,1966,
8,Leon Wagner,Bazooka,1966,
9,Ed Kranepool,Bazooka,1966,
10,Juan Marichal,Bazooka,1966,
11,Harmon Killebrew,Bazooka,1966,
12,Johnny Callison,Bazooka,1966,
13,Roy McMillan,Bazooka,1966,
14,Willie McCovey,Bazooka,1966,
15,Rocky Colavito,Bazooka,1966,
16,Willie Mays,Bazooka,1966,
17,Sam McDowell,Bazooka,1966,
18,Vern Law,Bazooka,1966,
19,Jim Fregosi,Bazooka,1966,
20,Ron Fairly,Bazooka,1966,
21,Bob Gibson,Bazooka,1966,
22,Carl Yastrzemski,Bazooka,1966,
23,Bill White,Bazooka,1966,
24,Bob Aspromonte,Bazooka,1966,
25,Dean Chance,Bazooka,1966,
26,Roberto Clemente,Bazooka,1966,
